"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC  759         ","UGC  1440         ","GALXY","AND","01 57.8","+36 21","12.7","13.6","92 ","4 ","   1.8 m","   1.8 m","   ","EO         ","    ","     ","    ","Cl;vS;R                                                ","P w NGC 753                                                                           "
"NGC  746         ","UGC  1438         ","GALXY","AND","01 57.9","+44 55","13.0","13.9","61 ","4 ","   1.9 m","   1.3 m","90 ","Ir         ","    ","     ","    ","vF;pS;lE;sev * nr                                      ","                                                                                      "
"NGC  797         ","UGC  1541         ","GALXY","AND","02 03.5","+38 07","12.6","13.3","92 ","4 ","   1.6 m","   1.3 m","65 ","SBa        ","    ","     ","    ","vF;S;iR;sbM;* nr                                       ","H III 566;double nebula                                                               "
"NGC  801         ","UGC  1550         ","GALXY","AND","02 03.7","+38 16","13.1","13.8","92 ","4 ","   3.1 m","   0.7 m","150","Sc         ","    ","     ","    ","eF;pS;iR;D* close f                                    ","P w NGC 797                                                                           "
"NGC  812         ","UGC  1598         ","GALXY","AND","02 06.9","+44 34","11.2","12.8","62 ","4 ","   3   m","   1.3 m","160","Sbc        ","    ","     ","    ","eF;pL;E45;bM                                           ","Peculiar                                                                              "
"NGC  818         ","UGC  1633         ","GALXY","AND","02 08.7","+38 47","12.5","13.8","92 ","4 ","   2.9 m","   1.2 m","113","SBbc       ","    ","     ","    ","pB;cL;lE;mbM                                           ","H II 604                                                                              "
"NGC  828         ","UGC  1655         ","GALXY","AND","02 10.2","+39 11","12.3","14.1","62 ","4 ","   2.9 m","   2.2 m","145","Sap        ","    ","     ","    ","pB;S;iR;D* f 15''                                      ","H II 605;Peculiar                                                                     "
"NGC  834         ","UGC  1672         ","GALXY","AND","02 11.0","+37 40","13.1","12.3","92 ","4 ","   1.1 m","   0.5 m","20 ","Sbc        ","    ","     ","    ","vF;S;lE                                                ","H III 567                                                                             "
"NGC  841         ","UGC  1676         ","GALXY","AND","02 11.3","+37 30","12.6","13.1","92 ","4 ","   1.8 m","   1   m","135","SBab       ","    ","     ","    ","pB;vS;mbMN=*13;14                                      ","                                                                                      "
"NGC  846         ","NGC  847          ","GALXY","AND","02 12.2","+44 34","12.1","13.3","62 ","4 ","   1.9 m","   1.7 m","140","SBab       ","    ","     ","    ","eF;vS;R;gbM                                            ","                                                                                      "
"NGC  847         ","NGC  846          ","GALXY","AND","02 12.2","+44 34","13.1","99.9","62 ","4 ","   1.9 m","   1.7 m","140","SBab       ","    ","     ","    ","vF;pL;R                                                ","                                                                                      "
"NGC  845         ","UGC  1695         ","GALXY","AND","02 12.3","+37 29","13.5","12.9","92 ","4 ","   1.7 m","   0.4 m","149","Sb         ","    ","     ","    ","vF;iF;stellar                                          ","H III 604                                                                             "
"NGC  891         ","UGC  1831         ","GALXY","AND","02 22.6","+42 21"," 9.9","13.6","62 ","4 ","  13.1 m","   2.8 m","22 ","Sb         ","    ","     ","BCH ","B;vL;vmE22                                             ","H V 19;NGC 1023 group;Lord Rosse drawing shows dark lane                              "
"NGC  898         ","UGC  1842         ","GALXY","AND","02 23.3","+41 57","12.9","12.7","62 ","4 ","   1.8 m","   0.4 m","170","Sab        ","    ","     ","    ","eF;vS;lE                                               ","H III 570                                                                             "
"Abell  347       ","                  ","GALCL","AND","02 25.1","+41 52","13.0","99.9","62 ","4 ","  56   m","        ","   ","0 1 II-III ","    ","     ","    ","13''-2 gals F;pS;R;nBM;6 others vF;S at 165X           ","0.5 degrees south preceding NGC 891; 32 galaxies                                      "
"NGC  906         ","UGC  1868         ","GALXY","AND","02 25.3","+42 05","12.9","13.9","62 ","4 ","   1.8 m","   1.6 m","   ","SBab       ","    ","     ","    ","eF;iE                                                  ","                                                                                      "
"NGC  909         ","UGC  1872         ","GALXY","AND","02 25.4","+42 02","13.3","13  ","62 ","4 ","   0.9 m","   0.9 m","   ","Elliptical ","    ","     ","    ","vF;vS;vS* inv                                          ","                                                                                      "
"NGC  910         ","UGC  1875         ","GALXY","AND","02 25.4","+41 49","12.2","13.7","62 ","4 ","   2   m","   2   m","   ","SO         ","    ","     ","    ","vF;pS;stellar                                          ","H III 571                                                                             "
"NGC  911         ","UGC  1878         ","GALXY","AND","02 25.7","+41 57","12.7","13.2","62 ","4 ","   1.7 m","   0.9 m","115","Elliptical ","    ","     ","    ","eF;vS;R;bM                                             ","                                                                                      "
"NGC  912         ","MCG   7- 6- 15    ","GALXY","AND","02 25.7","+41 47","15.0","99.9","62 ","4 ","   0.9 m","   0.8 m","   ","E-SO       ","    ","     ","    ","F;vS;R;bM                                              ","very compact                                                                          "
"NGC  913         ","                  ","GALXY","AND","02 25.7","+41 48","15.8","99.9","62 ","4 ","   0.5 m","   0.2 m","20 ","SO         ","    ","     ","    ","eF;vS;lbM                                              ","                                                                                      "
"NGC  914         ","UGC  1887         ","GALXY","AND","02 26.1","+42 09","13.0","13.7","62 ","4 ","   1.8 m","   1.3 m","117","Sc         ","    ","     ","    ","eF;pL;dif                                              ","                                                                                      "
